omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.25,500,4,0,A,-0.012499999999999964,0.22,0.19563901706970416,True
1.25,500,4,0,B,0.09625000000000006,0.04,0.20312926918590538,False
1.25,500,4,0,C,0.007500000000000041,0.12,0.18270433766060398,False
1.25,500,4,0,D,-0.048749999999999974,0.32,0.20185143051264218,False
1.25,500,4,1,A,0.03600000000000003,0.48,0.19142100198254108,True
1.25,500,4,1,B,-0.028999999999999995,0.6,0.19065380929842446,False
1.25,500,4,1,C,-0.03025,0.56,0.18973534198983594,False
1.25,500,4,1,D,0.07724999999999999,0.38,0.20402236397022755,False
1.25,500,4,2,A,0.12675,0.36,0.18274914500483988,True
1.25,500,4,2,B,-0.1795,1.0,0.16937495387453247,False
1.25,500,4,2,C,-0.087,0.84,0.17476162336165227,False
1.25,500,4,2,D,-0.0007499999999999729,0.68,0.18627197856897318,False
1.25,500,4,3,A,0.01700000000000003,0.38,0.16741901027063802,True
1.25,500,4,3,B,-0.06299999999999997,0.6,0.18108975675062353,False
1.25,500,4,3,C,0.009500000000000036,0.36,0.18111909065584444,False
1.25,500,4,3,D,-0.07675,0.7,0.17066707356722327,False
1.25,500,4,4,A,0.07125000000000002,0.2,0.17636255271457146,True
1.25,500,4,4,B,-0.12749999999999995,0.86,0.1795515246384725,False
1.25,500,4,4,C,-0.18874999999999997,0.96,0.17764782576772506,False
1.25,500,4,4,D,0.05374999999999999,0.46,0.17672365433070922,False
1.25,500,4,5,A,0.13825000000000004,0.18,0.19188049666393928,True
1.25,500,4,5,B,0.14075000000000001,0.14,0.20388569101337153,False
1.25,500,4,5,C,-0.15174999999999997,0.96,0.1582185987802951,False
1.25,500,4,5,D,-0.08925,0.9,0.16270179777740626,False
1.25,500,4,6,A,0.25225,0.02,0.18670899817630646,True
1.25,500,4,6,B,0.09475000000000001,0.18,0.17171633585655152,False
1.25,500,4,6,C,-0.09899999999999999,0.86,0.17802282157071883,False
1.25,500,4,6,D,-0.144,0.9,0.1626468567172449,False
1.25,500,4,7,A,-0.019749999999999965,0.46,0.1583607432414991,True
1.25,500,4,7,B,-0.04849999999999993,0.46,0.19274983787282415,False
1.25,500,4,7,C,0.09150000000000004,0.1,0.1891923624251254,False
1.25,500,4,7,D,0.07900000000000006,0.24,0.17649185533615994,False
1.25,500,4,8,A,-0.17474999999999993,0.42,0.18744465849951553,True
1.25,500,4,8,B,0.009000000000000036,0.02,0.18829962825242114,False
1.25,500,4,8,C,0.051500000000000004,0.08,0.18734960635133452,False
1.25,500,4,8,D,0.26025000000000004,0.0,0.20535152787354666,False
1.25,500,4,9,A,-0.04250000000000001,0.46,0.18849303700667566,True
1.25,500,4,9,B,-0.02624999999999996,0.5,0.17154882686862072,False
1.25,500,4,9,C,0.018750000000000024,0.38,0.17952959366076668,False
