omega,n_sites,rep,branch,NOE,pvalue,is_fg
1.25,250,0,A,0.053499999999999985,0.68,True
1.25,250,0,B,-0.08149999999999998,0.82,False
1.25,250,0,C,0.03850000000000001,0.78,False
1.25,250,0,D,0.0935,0.56,False
1.25,250,1,A,-0.0975,0.36,True
1.25,250,1,B,0.045,0.08,False
1.25,250,1,C,-0.08000000000000002,0.38,False
1.25,250,1,D,0.05,0.18,False
1.25,250,2,A,0.17,0.08,True
1.25,250,2,B,-0.325,0.88,False
1.25,250,2,C,0.3500000000000001,0.0,False
1.25,250,2,D,-0.23500000000000001,0.72,False
1.25,250,3,A,-0.08899999999999997,0.8,True
1.25,250,3,B,0.121,0.24,False
1.25,250,3,C,-0.179,0.9,False
1.25,250,3,D,0.06850000000000003,0.38,False
1.25,250,4,A,0.09799999999999999,0.06,True
1.25,250,4,B,0.06800000000000002,0.1,False
1.25,250,4,C,-0.10949999999999997,0.42,False
1.25,250,4,D,0.14800000000000002,0.02,False
1.25,250,5,A,-0.09400000000000001,0.76,True
1.25,250,5,B,0.256,0.12,False
1.25,250,5,C,0.08599999999999997,0.44,False
1.25,250,5,D,-0.003999999999999997,0.6,False
1.25,250,6,A,-0.07849999999999999,0.54,True
1.25,250,6,B,0.0865,0.22,False
1.25,250,6,C,0.05900000000000004,0.2,False
1.25,250,6,D,-0.11599999999999999,0.62,False
1.25,250,7,A,0.18750000000000006,0.16,True
1.25,250,7,B,-0.23250000000000004,0.94,False
1.25,250,7,C,0.12250000000000004,0.26,False
1.25,250,7,D,-0.01249999999999999,0.46,False
1.25,250,8,A,-0.07799999999999999,0.42,True
1.25,250,8,B,-0.13799999999999998,0.56,False
1.25,250,8,C,0.1670000000000001,0.1,False
1.25,250,8,D,-0.007999999999999965,0.38,False
1.25,250,9,A,-0.043999999999999984,0.38,True
1.25,250,9,B,0.11350000000000005,0.2,False
1.25,250,9,C,0.26100000000000007,0.08,False
1.25,250,9,D,-0.21899999999999994,0.88,False
1.25,250,10,A,-0.09499999999999999,0.74,True
1.25,250,10,B,0.05,0.54,False
1.25,250,10,C,-0.03499999999999995,0.74,False
1.25,250,10,D,-0.024999999999999946,0.66,False
1.25,250,11,A,0.376,0.04,True
1.25,250,11,B,-0.003999999999999976,0.5,False
1.25,250,11,C,-0.07650000000000001,0.84,False
