omega,n_sites,n_taxa,rep,phylospect_pvalue,paml_pvalue
1.5,500,4,0,0.24,0.07015135443294508
1.5,500,4,1,0.0,0.010684773369868665
1.5,500,4,2,0.48,0.06700222690149975
1.5,500,4,3,0.82,0.21455852119247737
1.5,500,4,4,0.96,0.5
1.5,500,4,5,0.9,0.006933189338286863
1.5,500,4,6,0.64,0.013970598159007351
1.5,500,4,7,0.58,0.3514658557210699
1.5,500,4,8,0.54,0.025988079425904056
1.5,500,4,9,0.36,0.012105845662041528
1.5,500,4,10,0.08,0.006016541757146323
1.5,500,4,11,0.12,0.005344477733430523
1.5,500,4,12,0.12,0.14723536517094044
1.5,500,4,13,0.46,0.005128171292250973
1.5,500,4,14,0.4,0.032984258012521674
1.5,500,4,15,0.28,0.03779970150585451
1.5,500,4,16,0.48,0.05210380529968567
1.5,500,4,17,0.02,0.1033094585710733
1.5,500,4,18,0.02,0.0001010894631438471
1.5,500,4,19,0.84,0.1999312094705542
1.5,1000,4,0,0.28,0.4990227959361161
1.5,1000,4,1,0.16,0.3360566774647836
1.5,1000,4,2,0.06,0.054203284424064385
1.5,1000,4,3,0.82,0.0004452685678049804
1.5,1000,4,4,0.7,0.5
1.5,1000,4,5,0.74,0.2326544872000738
1.5,1000,4,6,0.18,0.0010520761868372576
1.5,1000,4,7,0.18,0.05304936420643851
1.5,1000,4,8,0.16,0.2303041664830235
1.5,1000,4,9,0.72,0.23634601423315316
1.5,1000,4,10,0.96,0.1885427417512966
1.5,1000,4,11,0.12,0.06278046927025999
1.5,1000,4,12,0.72,0.49585414482837675
1.5,1000,4,13,0.14,0.029753174126121575
1.5,1000,4,14,0.06,0.31094790173826736
1.5,1000,4,15,0.04,0.0004904209798667625
1.5,1000,4,16,0.16,0.013160782668476813
1.5,1000,4,17,0.78,0.23572957850928528
1.5,1000,4,18,0.0,0.011498339196839336
1.5,1000,4,19,0.22,0.49245210818997687
1.5,3000,4,0,0.64,0.0020113897251510826
1.5,3000,4,1,0.0,0.0396049794118782
1.5,3000,4,2,0.0,2.476117225883248e-05
1.5,3000,4,3,0.3,0.0034605228213684396
1.5,3000,4,4,0.06,0.06240131619012853
1.5,3000,4,5,0.44,2.799458380913268e-05
1.5,3000,4,6,0.7,0.05877958237664968
1.5,3000,4,7,0.42,0.004768089612895331
1.5,3000,4,8,0.12,0.0016066290602457602
1.5,3000,4,9,0.0,5.980792610597719e-07
1.5,3000,4,10,0.2,0.007800174400026814
1.5,3000,4,11,0.08,6.702565087249748e-05
1.5,3000,4,12,0.82,0.0008094109267879582
1.5,3000,4,13,0.02,7.22287521337826e-05
1.5,3000,4,14,0.0,0.011193037008604734
1.5,3000,4,15,0.08,0.005991955107696141
1.5,3000,4,16,0.0,5.083203365677815e-05
1.5,3000,4,17,0.5,0.0684072682316378
1.5,3000,4,18,0.0,3.6275046102424417e-05
1.5,3000,4,19,0.18,0.051522684950402416
3.0,500,4,0,0.02,7.140219326165466e-05
3.0,500,4,1,0.12,4.3680064121325405e-05
3.0,500,4,2,0.16,0.005042093605336391
3.0,500,4,3,0.54,1.1698855265704753e-05
3.0,500,4,4,0.02,0.004323633031763828
3.0,500,4,5,0.32,0.011185418105571034
3.0,500,4,6,0.0,0.0005703214413286783
3.0,500,4,7,0.02,0.009149969417784605
3.0,500,4,8,0.02,0.04662047301028017
3.0,500,4,9,0.68,0.0375281899696237
3.0,500,4,10,0.5,0.013299029999940645
3.0,500,4,11,0.06,0.0016307663217029708
3.0,500,4,12,0.22,0.021208611554173803
3.0,500,4,13,0.6,0.08219347366686602
3.0,500,4,14,0.0,4.033018844323211e-06
3.0,500,4,15,0.36,0.04558994889920217
3.0,500,4,16,0.02,0.0026470280986897314
3.0,500,4,17,0.14,0.011169631157665817
3.0,500,4,18,0.0,1.5863835910336972e-05
3.0,500,4,19,0.14,0.002262679166892195
3.0,1000,4,0,0.02,1.750524074778342e-05
3.0,1000,4,1,0.04,1.0977133556260774e-05
3.0,1000,4,2,0.14,5.131907914925937e-06
3.0,1000,4,3,0.08,0.0027734662320323612
3.0,1000,4,4,0.08,1.0973594873025415e-06
3.0,1000,4,5,0.18,3.5885709441188446e-05
3.0,1000,4,6,0.08,0.00011310758374492452
3.0,1000,4,7,0.0,0.0027413193668333257
3.0,1000,4,8,0.08,5.676546559943047e-06
3.0,1000,4,9,0.04,3.674959636060799e-05
3.0,1000,4,10,0.1,0.01511036499714276
3.0,1000,4,11,0.1,0.0013842058923115928
3.0,1000,4,12,0.66,0.00958431396209616
3.0,1000,4,13,0.04,0.0009148882563068552
3.0,1000,4,14,0.18,9.803085549911383e-05
3.0,1000,4,15,0.4,0.0014789913794150027
3.0,1000,4,16,0.08,0.0002579719296345277
3.0,1000,4,17,0.0,4.604855336988806e-06
3.0,1000,4,18,0.02,0.0011314919785978049
3.0,1000,4,19,0.02,3.2068542644883647e-06
3.0,3000,4,0,0.0,8.863981930651695e-09
3.0,3000,4,1,0.0,2.0957475175406732e-08
3.0,3000,4,2,0.0,2.525553966190332e-10
3.0,3000,4,3,0.0,2.589534846725098e-11
3.0,3000,4,4,0.0,6.433437346697227e-11
3.0,3000,4,5,0.0,2.1734090726422455e-10
3.0,3000,4,6,0.12,1.92819913882884e-08
3.0,3000,4,7,0.0,3.4165242645356585e-17
3.0,3000,4,8,0.0,8.099926834343627e-08
3.0,3000,4,9,0.0,1.9437326342713255e-10
3.0,3000,4,10,0.12,2.2478052542764857e-07
3.0,3000,4,11,0.0,2.4250852322032555e-08
3.0,3000,4,12,0.02,2.0669280262002942e-07
3.0,3000,4,13,0.0,2.226801952902153e-07
3.0,3000,4,14,0.0,9.809030615180179e-14
3.0,3000,4,15,0.24,5.5351270191724414e-09
3.0,3000,4,16,0.02,2.0510247694817236e-14
3.0,3000,4,17,0.0,5.801491451383689e-13
3.0,3000,4,18,0.0,1.3656101207693195e-09
3.0,3000,4,19,0.02,7.451617335214458e-09
