regime,omega,rep,branch,NOE,pvalue,is_fg
short,1.0,0,A,0.06239999999999989,0.32,False
short,1.0,0,B,-0.028600000000000125,0.48,False
short,1.0,0,C,-0.037600000000000106,0.58,False
short,1.0,0,D,-0.07660000000000013,0.78,False
short,1.0,1,A,0.0675999999999999,0.34,False
short,1.0,1,B,-0.003400000000000118,0.58,False
short,1.0,1,C,-0.013400000000000134,0.68,False
short,1.0,1,D,-0.039400000000000115,0.78,False
short,1.0,2,A,0.08379999999999986,0.22,False
short,1.0,2,B,-0.13320000000000012,0.82,False
short,1.0,2,C,0.028799999999999874,0.3,False
short,1.0,2,D,0.022799999999999848,0.44,False
short,1.0,3,A,-0.0426000000000001,0.8,False
short,1.0,3,B,0.1213999999999999,0.26,False
short,1.0,3,C,-0.060600000000000105,0.9,False
short,1.0,3,D,-0.10760000000000014,0.9,False
short,1.0,4,A,0.020199999999999874,0.3,False
short,1.0,4,B,0.06219999999999985,0.22,False
short,1.0,4,C,-0.09580000000000012,0.78,False
short,1.0,4,D,0.06419999999999985,0.3,False
short,1.0,5,A,0.06779999999999989,0.18,False
short,1.0,5,B,-0.0032000000000001368,0.46,False
short,1.0,5,C,0.038799999999999855,0.28,False
short,1.0,5,D,-0.11720000000000015,0.8,False
short,1.0,6,A,0.07279999999999989,0.16,False
short,1.0,6,B,-0.10120000000000012,0.56,False
short,1.0,6,C,-0.16020000000000015,0.76,False
short,1.0,6,D,-0.004200000000000134,0.36,False
short,1.0,7,A,0.17019999999999988,0.0,False
short,1.0,7,B,0.013199999999999823,0.2,False
short,1.0,7,C,-0.15280000000000016,0.68,False
short,1.0,7,D,-0.01580000000000012,0.26,False
short,1.0,8,A,0.07939999999999986,0.14,False
short,1.0,8,B,-0.06960000000000015,0.58,False
short,1.0,8,C,-0.1016000000000001,0.58,False
short,1.0,8,D,0.03339999999999989,0.2,False
short,1.0,9,A,0.004199999999999857,0.4,False
short,1.0,9,B,0.013199999999999861,0.56,False
short,1.0,9,C,0.020199999999999874,0.38,False
short,1.0,9,D,0.005199999999999882,0.38,False
short,1.0,10,A,-0.04480000000000013,0.52,False
short,1.0,10,B,-0.1268000000000001,0.78,False
short,1.0,10,C,-0.11680000000000015,0.76,False
short,1.0,10,D,0.25319999999999987,0.0,False
short,1.0,11,A,-0.03000000000000011,0.66,False
short,1.0,11,B,0.053999999999999895,0.46,False
short,1.0,11,C,-0.02400000000000009,0.72,False
short,1.0,11,D,0.08599999999999991,0.42,False
short,1.0,12,A,0.042199999999999876,0.42,False
short,1.0,12,B,-0.17680000000000012,0.96,False
short,1.0,12,C,-0.09980000000000011,0.9,False
short,1.0,12,D,0.2221999999999999,0.04,False
short,1.0,13,A,-0.19080000000000014,0.98,False
short,1.0,13,B,0.08419999999999989,0.26,False
short,1.0,13,C,-0.16580000000000017,0.88,False
short,1.0,13,D,0.03019999999999988,0.32,False
short,1.0,14,A,-0.010000000000000137,0.28,False
short,1.0,14,B,0.013999999999999884,0.34,False
short,1.0,14,C,-0.11200000000000014,0.78,False
short,1.0,14,D,0.12999999999999987,0.1,False
short,1.0,15,A,0.019199999999999884,0.38,False
short,1.0,15,B,0.03519999999999986,0.38,False
short,1.0,15,C,-0.09080000000000012,0.8,False
short,1.0,15,D,-0.03680000000000014,0.6,False
short,1.0,16,A,-0.008600000000000121,0.52,False
short,1.0,16,B,-0.057600000000000144,0.68,False
short,1.0,16,C,0.23439999999999991,0.04,False
short,1.0,16,D,-0.06660000000000013,0.76,False
short,1.0,17,A,0.03899999999999987,0.34,False
short,1.0,17,B,0.03899999999999988,0.36,False
short,1.0,17,C,-0.06100000000000014,0.84,False
short,1.0,17,D,-0.12300000000000014,0.86,False
short,1.0,18,A,0.11719999999999986,0.26,False
short,1.0,18,B,-0.14180000000000015,0.94,False
short,1.0,18,C,0.08719999999999989,0.38,False
short,1.0,18,D,-0.03480000000000012,0.74,False
short,1.0,19,A,-0.055400000000000116,0.44,False
short,1.0,19,B,0.10559999999999986,0.02,False
short,1.0,19,C,-0.18140000000000017,0.7,False
short,1.0,19,D,-0.001400000000000165,0.22,False
short,3.0,0,A,0.27739999999999987,0.0,True
short,3.0,0,B,-0.018600000000000113,0.2,False
short,3.0,0,C,-0.08460000000000015,0.42,False
short,3.0,0,D,-0.07260000000000014,0.28,False
short,3.0,1,A,-0.11840000000000012,0.92,True
short,3.0,1,B,0.0645999999999999,0.44,False
short,3.0,1,C,-0.11440000000000011,0.9,False
short,3.0,1,D,0.0015999999999998932,0.52,False
short,3.0,2,A,0.09559999999999987,0.06,True
short,3.0,2,B,0.008599999999999872,0.2,False
short,3.0,2,C,-0.14540000000000014,0.7,False
short,3.0,2,D,0.15459999999999985,0.06,False
short,3.0,3,A,0.2565999999999999,0.02,True
short,3.0,3,B,-0.3064000000000001,1.0,False
short,3.0,3,C,-0.07740000000000016,0.74,False
short,3.0,3,D,-0.003400000000000118,0.36,False
short,3.0,4,A,0.1893999999999999,0.0,True
