k,condition,rep,pvalue,mb_obs,mb_null_mean,significant
5,neutral,1,0.58,0.023970968728905483,0.025089291239568535,0
5,neutral,2,1.0,0.009857558153847886,0.024838467401774356,0
5,neutral,3,0.0,0.043208569974280034,0.023510156214267424,1
5,neutral,4,0.28,0.02816616056011377,0.02391333883992443,0
5,neutral,5,0.68,0.02145464232482161,0.024425871290025353,0
5,neutral,6,0.6,0.02188714890524593,0.024019424028294094,0
5,neutral,7,0.38,0.02691431852587936,0.02447865342915589,0
5,neutral,8,0.8,0.021347968591647417,0.026556469466340757,0
5,neutral,9,0.38,0.02652174475233137,0.023574699640096338,0
5,neutral,10,0.96,0.010522965449093662,0.025552113418354963,0
5,neutral,11,0.44,0.027018208098776218,0.025331670861092406,0
5,neutral,12,0.8,0.017705233954744472,0.026522744906453326,0
5,neutral,13,0.66,0.02192367300990235,0.026053157577987256,0
5,neutral,14,0.86,0.01701945983902518,0.025299072493422888,0
5,neutral,15,0.0,0.042411055186009225,0.0248692767177313,1
5,selection,1,0.02,0.04645755389362039,0.02292594153563603,1
5,selection,2,0.2,0.02969371115722436,0.02433161852978884,0
5,selection,3,0.3,0.02804371360712869,0.023724079672673867,0
5,selection,4,0.46,0.024992616749895863,0.025510575282132124,0
5,selection,5,0.3,0.02880372446817606,0.0249847884484641,0
5,selection,6,0.82,0.01910375854762038,0.02521250952385923,0
5,selection,7,0.4,0.02637050138300641,0.02412834170940683,0
5,selection,8,0.96,0.010484306507568977,0.025605935560998425,0
5,selection,9,0.2,0.03394082899868028,0.026623863296380904,0
5,selection,10,0.06,0.03667055018201854,0.02555609688404833,0
5,selection,11,0.26,0.03170142567642315,0.02429144610166106,0
5,selection,12,0.34,0.027803081878042563,0.023956505013943318,0
5,selection,13,0.66,0.02208938991390745,0.024495150941743003,0
5,selection,14,0.48,0.025059093097433722,0.024728252327142562,0
5,selection,15,0.68,0.018935846443265972,0.023669850272602447,0
10,neutral,1,0.22,0.04044113071456747,0.035097975725853506,0
10,neutral,2,0.04,0.04687703042788896,0.03366804324377764,1
10,neutral,3,0.2,0.04254751132196476,0.034912132444383175,0
10,neutral,4,0.04,0.05149235268852305,0.03426642241881484,1
10,neutral,5,0.4,0.037652282223242114,0.0346799617297551,0
10,neutral,6,0.06,0.0476632054137117,0.03265886661673881,0
10,neutral,7,0.28,0.038213227148809314,0.034192361722334155,0
10,neutral,8,0.86,0.02609234713244052,0.03402457086982492,0
10,neutral,9,0.62,0.030737560119042186,0.034359508624338626,0
10,neutral,10,0.8,0.028585831196669128,0.03517849083861804,0
10,neutral,11,0.8,0.027977630629784363,0.03462555410068639,0
10,neutral,12,0.84,0.02741569859631118,0.03544966814099776,0
10,neutral,13,0.26,0.041743295695845485,0.03324839789108502,0
