mnm_rate,rep,phylospect_pvalue,paml_pvalue
0.0,0,0.62,0.5
0.0,1,0.26,0.12000493407335562
0.0,2,0.32,0.07075600919743881
0.0,3,0.84,0.4134469417278286
0.0,4,1.0,0.5
0.0,5,0.44,0.2839929954771857
0.0,6,0.32,0.08089164941429458
0.0,7,1.0,0.5
0.0,8,0.28,0.2578361735294754
0.0,9,0.8,0.4542105009376425
0.0,10,0.16,0.03782031778002753
0.0,11,0.58,0.5
0.0,12,0.82,0.4221594676909095
0.0,13,0.48,0.04100754600884004
0.0,14,0.16,0.27558256947983806
0.0,15,0.56,0.11662190590921676
0.0,16,0.96,0.5
0.0,17,0.5,0.36389419790938854
0.0,18,0.46,0.35014035902016066
0.0,19,0.58,0.34789341929426754
0.03,0,0.04,2.0391873334637772e-06
0.03,1,0.0,1.9743473272781566e-07
0.03,2,0.0,6.700673305533537e-07
0.03,3,0.22,4.839037640244187e-10
0.03,4,0.02,4.249455547738912e-06
0.03,5,0.82,5.8765924293867904e-08
0.03,6,0.3,3.578905767804979e-08
0.03,7,0.24,2.622834023608422e-10
0.03,8,0.0,1.6451047390828239e-09
0.03,9,0.58,7.363111090794644e-13
0.03,10,0.26,5.4229316909102744e-08
0.03,11,0.06,6.110957528837114e-06
0.03,12,0.1,2.5494092705020937e-07
0.03,13,0.2,9.11093475397974e-08
0.03,14,0.04,6.299496088324501e-07
0.03,15,0.2,2.061745547191934e-11
0.03,16,0.18,8.255840492652908e-12
0.03,17,0.86,2.351872795415081e-14
0.03,18,0.2,7.343650435350972e-12
0.03,19,0.34,8.444872786799e-12
